"","x"
"1",1839.50443505557
"2",938.82532613993
"3",1248.99877992657
"4",966.861370261495
"5",748.72230470674
"6",1654.23894425132
"7",2505.47916202124
"8",1998.46375881424
"9",2374.1604083767
"10",1629.85847842073
"11",1193.6088549123
"12",945.905698420491
"13",2427.12268995691
"14",2238.10796097826
"15",3479.35490147284
"16",2643.60448773524
"17",1812.92318440002
"18",1965.12448442489
"19",1851.22194762792
"20",3463.40474518017
"21",2702.65970339972
"22",2316.95392887533
"23",2079.96688587903
"24",1748.15936276321
"25",1362.61058078309
"26",1835.77723126604
"27",1447.62844464346
"28",2213.26855405354
"29",2236.40978764311
"30",1871.75379125943
"31",1494.71283363964
"32",152.652950497856
"33",445.787915416794
"34",988.244212076169
"35",1399.46678111518
"36",1429.35303535712
"37",1163.411808986
"38",1000.82471188596
"39",644.297849145346
"40",1680.59895089692
"41",1494.90617604406
"42",1073.76185785791
"43",1188.67420671617
"44",935.601553090758
"45",583.613357849633
"46",1257.28735469362
"47",1032.91258117757
"48",899.257530645307
"49",1060.24517792698
"50",1076.68956236576
"51",1393.15913078533
"52",1348.53617150722
"53",1234.75118451466
"54",1062.64011627849
"55",181.561145042098
"56",212.96468399782
"57",458.810631397188
"58",760.806081000695
"59",887.333837251851
"60",781.896629468442
"61",987.322390771349
"62",854.576916934626
"63",1172.28999433712
"64",976.013445331251
"65",821.609678849542
"66",1859.6786314701
"67",1491.4357740036
"68",1724.95833198435
"69",2279.87696219813
"70",1860.36576856136
"71",1520.05087614377
"72",1470.08807011084
"73",1137.14238217263
"74",1138.93134410836
"75",947.457973008273
"76",1256.55918694325
"77",1053.22120092273
"78",1095.85273845929
"79",1488.55544231369
"80",1612.29735685232
"81",1528.12622515664
"82",1237.37620433976
"83",1439.89872716757
"84",1642.3280648254
"85",1367.17751617713
"86",1593.22648355813
"87",1667.18148394967
"88",1283.28087393597
"89",1709.75297029998
"90",1817.97833872879
"91",1859.55164999061
"92",1479.95354802174
"93",1501.70801197767
"94",1923.5869417176
"95",1788.59606546162
"96",1247.84000351837
"97",828.266317778362
"98",1144.54255771265
"99",1622.86854080022
"100",1800.81155642167
"101",2233.90362625821
"102",1963.88369488521
"103",2283.32620958522
"104",2634.2601140177
"105",2378.7625741537
"106",3504.14490602481
"107",3625.9062531074
"108",2935.05283506165
"109",2475.09638748633
"110",1555.33418474773
"111",1960.34579773274
"112",1540.19141943283
