"","x"
"1",1672.75685000616
"2",5989.55816553073
"3",1303.18687435321
"4",851.677052138195
"5",1920.43070404751
"6",1421.66374032464
"7",509.700338196635
"8",554.294501423173
"9",2043.34705224266
"10",1076.70661670041
"11",1991.64375626631
"12",783.213892462315
"13",2387.15203825711
"14",2069.41564738347
"15",3455.06779376664
"16",2303.79233812806
"17",1678.75919519477
"18",1675.27334525737
"19",2802.54109800531
"20",3267.80236549108
"21",2480.64991691749
"22",1707.69135604507
"23",2053.50756859149
"24",1834.72676907129
"25",996.757120668398
"26",1824.8971691616
"27",1508.72763530407
"28",2484.08642528987
"29",2151.79762729336
"30",1256.89329694004
"31",3670.60466106633
"32",382.829742745601
"33",247.631827269304
"34",918.356228156145
"35",5750.86429898956
"36",1582.88135266652
"37",4790.47726234691
"38",869.0906073239
"39",729.234571776142
"40",102.205703981102
"41",1828.43892277881
"42",821.339780531088
"43",1927.22751058298
"44",3772.68941480628
"45",470.088186307408
"46",219.183706235741
"47",2382.32358334995
"48",869.426336157178
"49",952.327047415233
"50",1093.51866862531
"51",139.370116686805
"52",1720.05543969258
"53",923.433741155273
"54",3966.85038068879
"55",635.83381092218
"56",4309.96945922797
"57",3398.02597191816
"58",955.514287168015
"59",1028.37855727585
"60",3865.70773843532
"61",802.660354900091
"62",1816.33012886393
"63",122.927955581142
"64",238.428692011361
"65",1012.43251845733
"66",2168.20511132464
"67",264.767062281889
"68",1608.07274213346
"69",1795.56325180356
"70",1452.99205560242
"71",3409.77488973738
"72",797.634912771331
"73",940.808662236606
"74",1490.12702724991
"75",3757.58206857963
"76",732.450559102796
"77",1814.14168940299
"78",4925.78593440556
"79",559.373365329752
"80",1519.26618193779
"81",576.916018707613
"82",4010.2957467432
"83",912.124976316093
"84",568.116112606726
"85",499.78883089843
"86",2161.16019942237
"87",2457.35385848864
"88",844.492631435954
"89",2250.41579808701
"90",911.506838825002
"91",2070.48467754963
"92",1681.94575061245
"93",1874.19020081362
"94",2450.16334525099
"95",1419.13764747845
"96",1434.1628334374
"97",722.681567111021
"98",1311.29471500231
"99",1791.17513827187
"100",1697.80508695144
"101",229.560925092954
"102",1813.41216778831
"103",1633.74912934572
"104",3040.15180532033
"105",3236.28064359316
"106",3112.74098127826
"107",3804.14654933494
"108",2693.21389970462
"109",2962.23654998739
"110",1337.9250344948
"111",2293.60310082124
"112",1404.42257520352
