"Ano	Estado	Mes	Numero	Periodo"
"2016	Acre	8	2.188	01/01/2016"
"2017	Acre	8	1.493	01/01/2017"
"1998	Acre	9	509	01/01/1998"
"1999	Acre	9	209	01/01/1999"
"2000	Acre	9	265	01/01/2000"
"2001	Acre	9	290	01/01/2001"
"2002	Acre	9	1.949	01/01/2002"
"2003	Acre	9	3.942	01/01/2003"
"2004	Acre	9	1.978	01/01/2004"
"2005	Acre	9	4.253	01/01/2005"
"2006	Acre	9	2.370	01/01/2006"
"2007	Acre	9	2.080	01/01/2007"
"2008	Acre	9	1.666	01/01/2008"
"2009	Acre	9	1.265	01/01/2009"
"2010	Acre	9	2.531	01/01/2010"
"2011	Acre	9	1.204	01/01/2011"
"2012	Acre	9	1.996	01/01/2012"
"2013	Acre	9	2.136	01/01/2013"
"2014	Acre	9	2.175	01/01/2014"
"2015	Acre	9	2.928	01/01/2015"
"2016	Acre	9	3.586	01/01/2016"
"2017	Acre	9	3.429	01/01/2017"
"1998	Acre	10	44	01/01/1998"
"1999	Acre	10	60	01/01/1999"
"2000	Acre	10	18	01/01/2000"
"2001	Acre	10	137	01/01/2001"
"2002	Acre	10	687	01/01/2002"
"2003	Acre	10	740	01/01/2003"
"2004	Acre	10	461	01/01/2004"
"2005	Acre	10	547	01/01/2005"
"2006	Acre	10	316	01/01/2006"
"2007	Acre	10	203	01/01/2007"
"2008	Acre	10	652	01/01/2008"
"2009	Acre	10	565	01/01/2009"
"2010	Acre	10	292	01/01/2010"
"2011	Acre	10	97	01/01/2011"
"2012	Acre	10	348	01/01/2012"
"2013	Acre	10	258	01/01/2013"
"2014	Acre	10	406	01/01/2014"
"2015	Acre	10	905	01/01/2015"
"2016	Acre	10	509	01/01/2016"
"2017	Acre	10	1.508	01/01/2017"
"1998	Acre	11	0	01/01/1998"
"1999	Acre	11	0	01/01/1999"
"2000	Acre	11	0	01/01/2000"
"2001	Acre	11	1	01/01/2001"
"2002	Acre	11	86	01/01/2002"
"2003	Acre	11	15	01/01/2003"
"2004	Acre	11	10	01/01/2004"
"2005	Acre	11	14	01/01/2005"
"2006	Acre	11	18	01/01/2006"
"2007	Acre	11	7	01/01/2007"
"2008	Acre	11	4	01/01/2008"
"2009	Acre	11	33	01/01/2009"
"2010	Acre	11	39	01/01/2010"
"2011	Acre	11	74	01/01/2011"
"2012	Acre	11	13	01/01/2012"
"2013	Acre	11	79	01/01/2013"
"2014	Acre	11	56	01/01/2014"
"2015	Acre	11	115	01/01/2015"
"2016	Acre	11	46	01/01/2016"
"2017	Acre	11	98	01/01/2017"
"1998	Acre	12	7	01/01/1998"
"1999	Acre	12	0	01/01/1999"
"2000	Acre	12	0	01/01/2000"
"2001	Acre	12	0	01/01/2001"
"2002	Acre	12	1	01/01/2002"
"2003	Acre	12	1	01/01/2003"
"2004	Acre	12	7	01/01/2004"
"2005	Acre	12	2	01/01/2005"
"2006	Acre	12	0	01/01/2006"
"2007	Acre	12	0	01/01/2007"
"2008	Acre	12	0	01/01/2008"
"2009	Acre	12	1	01/01/2009"
"2010	Acre	12	0	01/01/2010"
"2011	Acre	12	4	01/01/2011"
"2012	Acre	12	1	01/01/2012"
"2013	Acre	12	3	01/01/2013"
"2014	Acre	12	6	01/01/2014"
"2015	Acre	12	8	01/01/2015"
"2016	Acre	12	6	01/01/2016"
"1998	Alagoas	1	0	01/01/1998"
"1999	Alagoas	1	58	01/01/1999"
"2000	Alagoas	1	11	01/01/2000"
"2001	Alagoas	1	5	01/01/2001"
"2002	Alagoas	1	12	01/01/2002"
"2003	Alagoas	1	150	01/01/2003"
"2004	Alagoas	1	9	01/01/2004"
"2005	Alagoas	1	83	01/01/2005"
"2006	Alagoas	1	29	01/01/2006"
"2007	Alagoas	1	33	01/01/2007"
"2008	Alagoas	1	55	01/01/2008"
"2009	Alagoas	1	104	01/01/2009"
"2010	Alagoas	1	23	01/01/2010"
"2011	Alagoas	1	41	01/01/2011"
"2012	Alagoas	1	36	01/01/2012"
"2013	Alagoas	1	49	01/01/2013"
"2014	Alagoas	1	54	01/01/2014"
"2015	Alagoas	1	81	01/01/2015"
"2016	Alagoas	1	24	01/01/2016"
"2017	Alagoas	1	38	01/01/2017"
"2017	Alagoas	1	38	01/01/2017"
"1998	Alagoas	2	0	01/01/1998"
"1999	Alagoas	2	20	01/01/1999"
"2000	Alagoas	2	16	01/01/2000"
"2001	Alagoas	2	4	01/01/2001"
"2002	Alagoas	2	15	01/01/2002"
"2003	Alagoas	2	33	01/01/2003"
"2004	Alagoas	2	7	01/01/2004"
"2005	Alagoas	2	31	01/01/2005"
"2006	Alagoas	2	14	01/01/2006"
"2007	Alagoas	2	28	01/01/2007"
"2008	Alagoas	2	74	01/01/2008"
"2009	Alagoas	2	32	01/01/2009"
"2010	Alagoas	2	26	01/01/2010"
"2011	Alagoas	2	33	01/01/2011"
"2012	Alagoas	2	41	01/01/2012"
"2013	Alagoas	2	19	01/01/2013"
"2014	Alagoas	2	29	01/01/2014"
"2015	Alagoas	2	46	01/01/2015"
"2016	Alagoas	2	14	01/01/2016"
"2017	Alagoas	2	21	01/01/2017"
"1998	Alagoas	3	0	01/01/1998"
"1999	Alagoas	3	52	01/01/1999"
"2000	Alagoas	3	32	01/01/2000"
"2001	Alagoas	3	0	01/01/2001"
"2002	Alagoas	3	27	01/01/2002"
"2003	Alagoas	3	15	01/01/2003"
"2004	Alagoas	3	16	01/01/2004"
"2005	Alagoas	3	35	01/01/2005"
"2006	Alagoas	3	37	01/01/2006"
"2007	Alagoas	3	7	01/01/2007"
"2008	Alagoas	3	31	01/01/2008"
"2009	Alagoas	3	31	01/01/2009"
"2010	Alagoas	3	70	01/01/2010"
"2011	Alagoas	3	34	01/01/2011"
"2012	Alagoas	3	44	01/01/2012"
"2013	Alagoas	3	31	01/01/2013"
"2014	Alagoas	3	28	01/01/2014"
"2015	Alagoas	3	32	01/01/2015"
"2016	Alagoas	3	9	01/01/2016"
"2017	Alagoas	3	23	01/01/2017"
"1998	Alagoas	4	0	01/01/1998"
"1999	Alagoas	4	4	01/01/1999"
"2000	Alagoas	4	20	01/01/2000"
"2001	Alagoas	4	0	01/01/2001"
"2002	Alagoas	4	6	01/01/2002"
"2003	Alagoas	4	20	01/01/2003"
"2004	Alagoas	4	6	01/01/2004"
"2005	Alagoas	4	1	01/01/2005"
"2006	Alagoas	4	2	01/01/2006"
"2007	Alagoas	4	1	01/01/2007"
"2008	Alagoas	4	18	01/01/2008"
"2009	Alagoas	4	5	01/01/2009"
"2010	Alagoas	4	3	01/01/2010"
"2011	Alagoas	4	17	01/01/2011"
"2012	Alagoas	4	18	01/01/2012"
"2013	Alagoas	4	25	01/01/2013"
"2014	Alagoas	4	16	01/01/2014"
"2015	Alagoas	4	63	01/01/2015"
"2016	Alagoas	4	13	01/01/2016"
"2017	Alagoas	4	7	01/01/2017"
"1998	Alagoas	5	0	01/01/1998"
"1999	Alagoas	5	1	01/01/1999"
"2000	Alagoas	5	1	01/01/2000"
"2001	Alagoas	5	2	01/01/2001"
"2002	Alagoas	5	1	01/01/2002"
"2003	Alagoas	5	1	01/01/2003"
"2004	Alagoas	5	3	01/01/2004"
"2005	Alagoas	5	0	01/01/2005"
"2006	Alagoas	5	0	01/01/2006"
