Date,year,appl
2014-07-01,2014-07-01,60
2014-08-01,2014-08-01,11
2014-09-01,2014-09-01,2175
2014-10-01,2014-10-01,406
2014-11-01,2014-11-01,56
2014-12-01,2014-12-01,6
2015-01-01,2015-01-01,1
2015-02-01,2015-02-01,2
2015-03-01,2015-03-01,2
2015-04-01,2015-04-01,3
2015-05-01,2015-05-01,2
2015-06-01,2015-06-01,40
2015-07-01,2015-07-01,109
2015-08-01,2015-08-01,1397
2015-09-01,2015-09-01,2928
2015-10-01,2015-10-01,905
2015-11-01,2015-11-01,115
2015-12-01,2015-12-01,8
2016-01-01,2016-01-01,12
2016-02-01,2016-02-01,5
2016-03-01,2016-03-01,0
2016-04-01,2016-04-01,0
2016-05-01,2016-05-01,21
2016-06-01,2016-06-01,87
2016-07-01,2016-07-01,533
2016-08-01,2016-08-01,2188
2016-09-01,2016-09-01,3586
2016-10-01,2016-10-01,509
2016-11-01,2016-11-01,46
2016-12-01,2016-12-01,6
2017-01-01,2017-01-01,0
2017-02-01,2017-02-01,1
2017-03-01,2017-03-01,0
2017-04-01,2017-04-01,1
2017-05-01,2017-05-01,10
2017-06-01,2017-06-01,45
2017-07-01,2017-07-01,457
2017-08-01,2017-08-01,1493
2017-09-01,2017-09-01,3429
2017-10-01,2017-10-01,1508
2017-11-01,2017-11-01,98
