Ano;Estado;Mes;Numero;Date
2011;Alagoas;4;17;2011-4-1
2011;Alagoas;5;0;2011-5-1
2011;Alagoas;6;2;2011-6-1
2011;Alagoas;7;0;2011-7-1
2011;Alagoas;8;4;2011-8-1
2011;Alagoas;9;5;2011-9-1
2011;Alagoas;10;23;2011-10-1
2011;Alagoas;11;23;2011-11-1
2011;Alagoas;12;50;2011-12-1
2012;Alagoas;1;36;2012-1-1
2012;Alagoas;2;41;2012-2-1
2012;Alagoas;3;44;2012-3-1
2012;Alagoas;4;18;2012-4-1
2012;Alagoas;5;21;2012-5-1
2012;Alagoas;6;4;2012-6-1
2012;Alagoas;7;0;2012-7-1
2012;Alagoas;8;0;2012-8-1
2012;Alagoas;9;6;2012-9-1
2012;Alagoas;10;28;2012-10-1
2012;Alagoas;11;95;2012-11-1
2012;Alagoas;12;59;2012-12-1
2013;Alagoas;1;49;2013-1-1
2013;Alagoas;2;19;2013-2-1
2013;Alagoas;3;31;2013-3-1
2013;Alagoas;4;25;2013-4-1
2013;Alagoas;5;2;2013-5-1
2013;Alagoas;6;1;2013-6-1
2013;Alagoas;7;0;2013-7-1
2013;Alagoas;8;0;2013-8-1
2013;Alagoas;9;4;2013-9-1
2013;Alagoas;10;25;2013-10-1
2013;Alagoas;11;10;2013-11-1
2013;Alagoas;12;42;2013-12-1
2014;Alagoas;1;54;2014-1-1
2014;Alagoas;2;29;2014-2-1
2014;Alagoas;3;28;2014-3-1
2014;Alagoas;4;16;2014-4-1
2014;Alagoas;5;1;2014-5-1
2014;Alagoas;6;2;2014-6-1
2014;Alagoas;7;1;2014-7-1
2014;Alagoas;8;3;2014-8-1
2014;Alagoas;9;11;2014-9-1
2014;Alagoas;10;7;2014-10-1
2014;Alagoas;11;14;2014-11-1
2014;Alagoas;12;24;2014-12-1
2015;Alagoas;1;81;2015-1-1
2015;Alagoas;2;46;2015-2-1
2015;Alagoas;3;32;2015-3-1
2015;Alagoas;4;63;2015-4-1
2015;Alagoas;5;18;2015-5-1
2015;Alagoas;6;2;2015-6-1
2015;Alagoas;7;0;2015-7-1
2015;Alagoas;8;3;2015-8-1
2015;Alagoas;9;7;2015-9-1
2015;Alagoas;10;40;2015-10-1
2015;Alagoas;11;162;2015-11-1
2015;Alagoas;12;136;2015-12-1
2016;Alagoas;1;24;2016-1-1
2016;Alagoas;2;14;2016-2-1
2016;Alagoas;3;9;2016-3-1
2016;Alagoas;4;13;2016-4-1
2016;Alagoas;5;4;2016-5-1
2016;Alagoas;6;5;2016-6-1
2016;Alagoas;7;3;2016-7-1
2016;Alagoas;8;5;2016-8-1
2016;Alagoas;9;18;2016-9-1
2016;Alagoas;10;74;2016-10-1
2016;Alagoas;11;76;2016-11-1
2016;Alagoas;12;155;2016-12-1
2017;Alagoas;1;38;2017-1-1
2017;Alagoas;1;38;2017-1-1
2017;Alagoas;2;21;2017-2-1
2017;Alagoas;3;23;2017-3-1
2017;Alagoas;4;7;2017-4-1
2017;Alagoas;5;1;2017-5-1
2017;Alagoas;6;2;2017-6-1
2017;Alagoas;7;0;2017-7-1
2017;Alagoas;8;1;2017-8-1
2017;Alagoas;9;4;2017-9-1
2017;Alagoas;10;14;2017-10-1
2017;Alagoas;11;10;2017-11-1
