Date,year,appl
2014-08-01,2014-08-01,3
2014-09-01,2014-09-01,11
2014-10-01,2014-10-01,7
2014-11-01,2014-11-01,14
2014-12-01,2014-12-01,24
2015-01-01,2015-01-01,81
2015-02-01,2015-02-01,46
2015-03-01,2015-03-01,32
2015-04-01,2015-04-01,63
2015-05-01,2015-05-01,18
2015-06-01,2015-06-01,2
2015-07-01,2015-07-01,0
2015-08-01,2015-08-01,3
2015-09-01,2015-09-01,7
2015-10-01,2015-10-01,40
2015-11-01,2015-11-01,162
2015-12-01,2015-12-01,136
2016-01-01,2016-01-01,24
2016-02-01,2016-02-01,14
2016-03-01,2016-03-01,9
2016-04-01,2016-04-01,13
2016-05-01,2016-05-01,4
2016-06-01,2016-06-01,5
2016-07-01,2016-07-01,3
2016-08-01,2016-08-01,5
2016-09-01,2016-09-01,18
2016-10-01,2016-10-01,74
2016-11-01,2016-11-01,76
2016-12-01,2016-12-01,155
2017-01-01,2017-01-01,38
2017-01-01,2017-01-01,38
2017-02-01,2017-02-01,21
2017-03-01,2017-03-01,23
2017-04-01,2017-04-01,7
2017-05-01,2017-05-01,1
2017-06-01,2017-06-01,2
2017-07-01,2017-07-01,0
2017-08-01,2017-08-01,1
2017-09-01,2017-09-01,4
2017-10-01,2017-10-01,14
2017-11-01,2017-11-01,10
